ID,Name,Description,Owner.ID,Owner.Rest,Tracks.Href,Tracks.Total,Rest
6Ul7ynhxzMkFN7jcHKiseh,Cities 1.0,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6Ul7ynhxzMkFN7jcHKiseh/tracks,66,null
41ftzXy10oatZvpqofw1Hz,Tropico,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/41ftzXy10oatZvpqofw1Hz/tracks,16,null
3IRVqaM0SE0kWkGXj1r4Sn,TR4N5P0RT3R,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3IRVqaM0SE0kWkGXj1r4Sn/tracks,11,null
7B4Rgu63fJD9UBn89FbDIx,Elementary Cool,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7B4Rgu63fJD9UBn89FbDIx/tracks,21,null
0Laxn3fDYMl1d6HgvleVws,Solar Energy,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0Laxn3fDYMl1d6HgvleVws/tracks,20,null
4pnMzG9onG8QauvUQq1lCo,Tech Factory,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4pnMzG9onG8QauvUQq1lCo/tracks,24,null
5TCU1Jl0NPtkX0A2f7gxAR,Tin-plate on infinity,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5TCU1Jl0NPtkX0A2f7gxAR/tracks,76,null
4cSUI92qrxZJxStPwMZEyP,House of souls,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4cSUI92qrxZJxStPwMZEyP/tracks,4,null
1fvV6os4nz8gF5cfKMipFV,House of worship,"Believe in God, call him a different name, or don&#x27;t believe at all, it does not matter. Let us unite and worship MUSIC.",jakobjankamminga,null,https://api.spotify.com/v1/playlists/1fvV6os4nz8gF5cfKMipFV/tracks,12,null
2I13Pg1rlXdHYYAQECqby3,Showdown,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2I13Pg1rlXdHYYAQECqby3/tracks,12,null
4buCI86B9ddanGD6QXO0Tb,80's retro future,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4buCI86B9ddanGD6QXO0Tb/tracks,9,null
5pjneSMHZPGWIpKrL5aoUz,Strutting those beats,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5pjneSMHZPGWIpKrL5aoUz/tracks,37,null
6BtF4d62Pwr7YjN4F37pwf,Nicolas Jaar - Nymphs,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6BtF4d62Pwr7YjN4F37pwf/tracks,7,null
02OqOuIdZPktLKm7j3Pvpv,Need to find title,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/02OqOuIdZPktLKm7j3Pvpv/tracks,5,null
3RqNYlKg9MTSURQQP4rhaX,Röyksopp,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3RqNYlKg9MTSURQQP4rhaX/tracks,19,null
68J7XLYAqwnuSq9flEYkku,De Sluwe Vos,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/68J7XLYAqwnuSq9flEYkku/tracks,9,null
4GvbplduuY4VeiFzIW9TWU,Future breakbeat,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4GvbplduuY4VeiFzIW9TWU/tracks,13,null
5NRRaub37cfsUuaFT1e6tZ,Juice Disco,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5NRRaub37cfsUuaFT1e6tZ/tracks,17,null
54t5CjxkWl8ViGFNI3dnjO,Future Garage,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/54t5CjxkWl8ViGFNI3dnjO/tracks,18,null
2sLaYqdiEjrQaSA4DasmSN,DNB World,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2sLaYqdiEjrQaSA4DasmSN/tracks,5,null
5G6QvVHiQIinDSrFG0NFHP,Neurofunk,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5G6QvVHiQIinDSrFG0NFHP/tracks,3,null
1BEFE1xqJVTQXd9xYVwtXW,Drum & bass,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1BEFE1xqJVTQXd9xYVwtXW/tracks,9,null
32RgolrwLTKG9MUJ0IjHm1,Dubstep,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/32RgolrwLTKG9MUJ0IjHm1/tracks,17,null
03f6w52KkNF2zPBV0KiZg1,Piraten arr,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/03f6w52KkNF2zPBV0KiZg1/tracks,33,null
0kmFynebecjEBdIG5gLP0b,James Bond songs ordered best to worst,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0kmFynebecjEBdIG5gLP0b/tracks,23,null
4jgMjRWjCtbkaptLam2Csx,Evil Genius Themes,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4jgMjRWjCtbkaptLam2Csx/tracks,12,null
11ogyuKyJNk6BSBQGYLu0i,Magic,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/11ogyuKyJNk6BSBQGYLu0i/tracks,63,null
5nApG2t0YP1nQjqdDFGxOG,Black magic,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5nApG2t0YP1nQjqdDFGxOG/tracks,20,null
7Kh3poKmcLqCM216c4DYo5,Hitman,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7Kh3poKmcLqCM216c4DYo5/tracks,27,null
7xewYPXVgJxINaAwIrwtpi,Assassin's Creed series,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7xewYPXVgJxINaAwIrwtpi/tracks,36,null
1kVYUcRHdEkYrqNDuakk0Y,Assassin's Creed 2,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1kVYUcRHdEkYrqNDuakk0Y/tracks,24,null
1ZeVGhQEQKVTywyhhYQ2bY,Game of Thrones,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1ZeVGhQEQKVTywyhhYQ2bY/tracks,22,null
5J1ekBEAZdXJJdKDtW76IC,Epic sci-fi journey,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5J1ekBEAZdXJJdKDtW76IC/tracks,38,null
00fP73jDCCvrXhPlwHvRmO,"Epic sci-fi journey, galactic edition",,jakobjankamminga,null,https://api.spotify.com/v1/playlists/00fP73jDCCvrXhPlwHvRmO/tracks,10,null
0QYpQyPYoc1JeJFSTzkrX6,Fallout Radio,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0QYpQyPYoc1JeJFSTzkrX6/tracks,74,null
6DT4y09KrTRhHSaM962M7T,title?,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6DT4y09KrTRhHSaM962M7T/tracks,2,null
38mlLinFBc3G5dN8ItKQGB,Jakob's Intercontinental Cocktail Hour,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/38mlLinFBc3G5dN8ItKQGB/tracks,14,null
014GNttmu15LyERId4ZYhO,Funk for the road,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/014GNttmu15LyERId4ZYhO/tracks,21,null
1iTI1198JiUn488Mzjv3Sq,Positivity,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1iTI1198JiUn488Mzjv3Sq/tracks,6,null
0q6POCF74NL8YVwOPPz6eN,Kraak & Smaak,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0q6POCF74NL8YVwOPPz6eN/tracks,20,null
24LxAWW7PcD0FWIdbWPqmk,"Earth, Wind & Fire",,jakobjankamminga,null,https://api.spotify.com/v1/playlists/24LxAWW7PcD0FWIdbWPqmk/tracks,17,null
36WR1h9mVmbMGob3I7dX9f,"Earth, Wind & Fire 1970-1980",,jakobjankamminga,null,https://api.spotify.com/v1/playlists/36WR1h9mVmbMGob3I7dX9f/tracks,11,null
4AD9wb3MVTwtaRhEqpjprd,Elevation,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4AD9wb3MVTwtaRhEqpjprd/tracks,1,null
5DgkEZi0HVY5Bo3MdQO8Fs,METROPOL,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5DgkEZi0HVY5Bo3MdQO8Fs/tracks,2,null
6weUsu4tOo4GMlh4QFeO3Y,Copper is metal too,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6weUsu4tOo4GMlh4QFeO3Y/tracks,1,null
3yd3XxrRzcrluVuLpdPOiS,Future Sight,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3yd3XxrRzcrluVuLpdPOiS/tracks,10,null
0IUX8tS6nPipC6ykFvIuJZ,Mysteries of the Galactic Power Fist,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0IUX8tS6nPipC6ykFvIuJZ/tracks,12,null
67nqptocc2w12bl4SUqTKO,lilzenman,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/67nqptocc2w12bl4SUqTKO/tracks,10,null
7wvhXOPQvBKlUEWpBBGyRI,pop pop pop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7wvhXOPQvBKlUEWpBBGyRI/tracks,6,null
32kV0fWsYaCsluscoZUcoK,H! Vltg3,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/32kV0fWsYaCsluscoZUcoK/tracks,14,null
4lJhF5EIX4Y5M6NlJeRtKR,West coast hip hop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4lJhF5EIX4Y5M6NlJeRtKR/tracks,3,null
0EUZ0hm24822Q2juEHG06C,Summer hip hop jams,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0EUZ0hm24822Q2juEHG06C/tracks,35,null
3LEpaYb0MUaGog7fU5slh2,Chill hip hop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3LEpaYb0MUaGog7fU5slh2/tracks,7,null
6MLCHgGsQNXRYq3tf5ODaf,Steely Dan discography,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6MLCHgGsQNXRYq3tf5ODaf/tracks,80,null
7x254F1R5I8C61vGPfW8FK,Smooth as fuuuuuck,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7x254F1R5I8C61vGPfW8FK/tracks,14,null
4AVBXl2Z0Dmbo1PZsAt0RH,House Pop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4AVBXl2Z0Dmbo1PZsAt0RH/tracks,11,null
0gDpnKTukSrbmUZid5Q4nV,Synth Pop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0gDpnKTukSrbmUZid5Q4nV/tracks,26,null
2PGwNsOBg0dLl6iAUiWRAU,Funky Pop,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2PGwNsOBg0dLl6iAUiWRAU/tracks,3,null
4pxFZ8kWd0oIZKVttdfJwS,Chad Lawson – The Chopin Variations,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4pxFZ8kWd0oIZKVttdfJwS/tracks,20,null
2ttT2j9Lkzm3RMsvFSEODa,Symfonieën,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2ttT2j9Lkzm3RMsvFSEODa/tracks,16,null
5Y2fkFv8GFojQqoqo8LyNF,Mazurkas,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5Y2fkFv8GFojQqoqo8LyNF/tracks,6,null
0FgzrdOnGidnIXnlg9hZTd,Humoresques,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0FgzrdOnGidnIXnlg9hZTd/tracks,8,null
7fMrHzFc6FEzNZHPacAujY,Symfonieën,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7fMrHzFc6FEzNZHPacAujY/tracks,20,null
5h9jBztPUzyRLpuRzoTBux,Concerten,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5h9jBztPUzyRLpuRzoTBux/tracks,8,null
29QIssJSRI0paxG0xlZZgJ,A Midsummer Night's Dream,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/29QIssJSRI0paxG0xlZZgJ/tracks,10,null
40rB3Qh90YDCppJlNKHIhT,Mozart,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/40rB3Qh90YDCppJlNKHIhT/tracks,16,null
5GmL9IucO8ssS0hmoLN2uC,Satie,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5GmL9IucO8ssS0hmoLN2uC/tracks,60,null
5pJKGxce64a1zW5kYGiUoZ,Symfonieën,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5pJKGxce64a1zW5kYGiUoZ/tracks,8,null
2wvXRRjGgbZ3vPIusoFNYK,Die Vier Jahreszeiten,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2wvXRRjGgbZ3vPIusoFNYK/tracks,12,null
2TncLgSGl2WgKKTfpZXLA3,Mijn playlist 303,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2TncLgSGl2WgKKTfpZXLA3/tracks,1,null
4LHkyRgeI90sNsqyRPf0yM,Neck Breakers,Potentially lethal headbanging material. Listen at your own discretion.,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4LHkyRgeI90sNsqyRPf0yM/tracks,26,null
13Vy8MsM6VqyyDym0Be9kD,Killer metal riffs,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/13Vy8MsM6VqyyDym0Be9kD/tracks,1,null
6qwmz0dxzeZrb0aZqM2uWv,Nu Metal,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6qwmz0dxzeZrb0aZqM2uWv/tracks,23,null
2nkHbZfyJIaWGdTtWW2w9n,Gothic metal,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2nkHbZfyJIaWGdTtWW2w9n/tracks,5,null
6XC57s41K3ERWs8Ny78JDM,Death Metal,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6XC57s41K3ERWs8Ny78JDM/tracks,17,null
7beV7RhkOaOVINkihdQisu,Best of: Mastodon,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7beV7RhkOaOVINkihdQisu/tracks,2,null
5FZZLXEtAZyajMrYvSHEZH,Best of: Anaal Nathrakh,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5FZZLXEtAZyajMrYvSHEZH/tracks,92,null
5kgsUBFixmrrHCBt1ZcdaY,Best of: Anaal Nathrakh,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5kgsUBFixmrrHCBt1ZcdaY/tracks,18,null
7DmBOuyYck218MNQ3rdzTo,Best of: The Vision Bleak,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7DmBOuyYck218MNQ3rdzTo/tracks,8,null
5qYDSGtTAwDOY27EgFJlKQ,Best of: Amon Amarth,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5qYDSGtTAwDOY27EgFJlKQ/tracks,6,null
